,Position,place_id,reviews,topics
10,11,ChIJO9dP20LAwjsR4JzurEiq9WU,61 year old templ ayyappa swami nurtur love wonder puja ritual templ strong posit vibe beauti templ heart pune citi maintain cultur feel energi templ best templ alway clean hygien earli everi sunday use provid free south indian food everyon matter religion current think provid corona period still sometim big event provid pongal earli morn great pooja make pongal templ awesom watch beauti templ enchant ayyappan idol place hold amaz energi ️ peac environ authent keralit architectur magic give cultur kerala vibe must visit ️ ️ templ spiritu everyon feel calm happi good well craft templ see faith devote old templ seen gradual growth growth good go see insid templ seem mani thing gold plate daili ritual held season festiv like pongal seen believ overal templ recommend see templ one oldest templ pune architectur templ authent templ commun maintain well neat good templ feel like go south indian templ pune,"peaceful, lord ayyappa, feel, traditional, heart, atmosphere, photography, parking, architecture, pooja"
11,12,ChIJlz9Oam7AwjsRSAU54ATRZ64,tulshibaug shri ram mandir hidden gem bustl lane pune templ seren beauti maintain impress idol lord ram despit busi market area templ offer peac spiritu atmospher allow visitor find moment calm architectur reflect tradit style ad charm great place visit seek tranquil devot amidst city' hustl seren n hidden templ crowd place ie tulshi bag look entranc one believ there' big n beauti templ insid lord shree ram templ tulsibagh beauti peac divin feel templ ancient style realli want peac mind visit even definit get itjai shree ram hidden quiet abod tulshibaug-budhwar peth ram mandir one beauti place visit pune built naro appaji khire upon receiv order nana saheb origin structur templ built use teak featur larg congreg hall carv column arch excel craftsmanship attent detail someth worth admir hidden away heart budhwar peth tulshibaug impress shree ram mandir one pune’ great hidden secret alway find gravit back everi visit make citi last 15 year seen mani posit chang term restor conserv alway look forward return wit improv occur interven 12 month long time mean write least someth place covid-19 prevent travel year time final come templ hidden gem would say locat crowd market tulsi bagh pune yet calm peac insid main hall sabha mandapa made wood beauti idol deiti insid garbhagriha fascin featur shikhara templ amaz mani detail carv vicin templ small templ differ deiti must visit place pune itinerari would say realli hidden templ like i'm live peth area long time month ago got know templ realli peac beauti templ realli got glimps bhakti peopl old amaz place center pune must visit place see old maintain templ idol old grace visit templ ampl shop option tulshibaug well enjoy nice sugarcan juic near templ,"heart, lord ram, wooden, peshwa, brass, architecture, idols, structure, market, antique"
12,13,ChIJud3T2U_AwjsRABe9wpfghek,iskcon templ camp pune peac beauti templ visit templ stun architectur calm quiet surround sooth sound devot song garden well-kept offer nice place worshipth templ also offer tasti prasadam free food serv visitor staff volunt friendli help make feel welcomei went janmashtami beauti decor templ ideal devot & peac place worship & pray lord krishna & radha ranithi templ own work intern societi krishna conscious noth iskconth templ & atmospher insid templ soo devot especi shri krishna janmashtamiw visit templ auspici occas janmashtami templ look soo attractiveth iskon devote serv tasti satvic prasad free visitor got chanc eat prasad janmashtami soo simpl still tast prasad awesomemust visit templ janmashtami devin peac place worship pray suprem person godhead lord sri krishna srimati radha rani radha kunjbihari templ nice place visit week day devote humbl friendli help must visit place color special occas weekend person deep connect place thank iskcon camp templ seren oasi nestl bustl citi moment step gate greet atmospher peac devot architectur stun intric carv vibrant color captiv eye evok sens spiritu grandeurth temple' well-maintain garden tranquil surround provid perfect set medit reflect deiti worship perform utmost rever bhajan kirtan fill air divin energi creat deepli immers spiritu experienceon standout aspect iskcon camp templ welcom commun devote warm hospit alway readi share knowledg guid visitor spiritu journey templ also offer varieti program yoga medit class enlighten discours bhagavad gita cater beginn season practitionersth prasadam serv templ anoth highlight delici also prepar great devot ad overal spiritu nourish whether devout follow someon seek peac spiritu growth iskcon camp templ must-visit it’ place find solac connect like-mind individu deepen spiritu practic peac place provid relax spiritu experi must visit spiritu heavennestl amidst seren surround iskcon templ sanctuari soul architectur brillianc templ awe-inspir intric design vibrant color captiv sens insid atmospher fill divin chant fragranc incens transport visitor realm peac tranquil iskcon templ pune camp renown spiritu landmark dedic lord krishna inspir teach intern societi krishna conscious (iskcon) situat amidst vibrant street pune camp templ offer seren retreat devote spiritu seeker alik temple' architectur character majest dome intric carv vibrant color reflect rich cultur heritag india insid main hall hous exquisit deiti lord krishna radha attract devote come offer prayer seek spiritu enlighten temple' seren ambianc combin melodi kirtan bhajan creat spiritu uplift atmospher transport visitor realm divin bliss iskcon templ pune camp also host variou spiritu discours festiv cultur event foster sens commun devot among follow overal iskcon templ pune camp place worship also spiritu sanctuari radiat love peac devot bustl citi pune good place visit nice devin place khichdi prasadam good,"prasad, aarti, radha krishna, kirtan, khichdi, janmashtami, canteen, hare, bhagavad gita, gift shop"
13,14,ChIJ5ctMUg0ewzsRypqw9G3-fPQ,bhuleshwar templ locat near pune ancient architectur uniqu templ dedic lord shiva temple' intric carv histor signific make fascin destin histori buff devote set hill offer peac surround scenic view landscap though crowd popular templ seren atmospher heritag make great place quiet spiritu retreat must-visit appreci histori art tranquil bhuleshwar templ locat eastern side pune must-visit destin anyon interest histori spiritu simpli breathtak view dedic lord shiva ancient templ sit majest atop hill offer panoram view noth short spectacularth templ renown intric sculptur god goddess master engrav insid templ stonesvisit bhuleshwar templ like step back time seren surround spiritu ambianc creat truli uniqu memor experiencebhuleshwar templ particularli spectacular monsoon season lush greeneri surround hill come aliv creat seren refresh atmospher combin mist vibrant greeneri temple' ancient architectur make experi even enchant it’ perfect time visit want wit temple' beauti full glori enhanc nature’ monsoon magic beauti craft templ top hill carv stone structur templ good treat eye car park shift bottom hill one need walk 5-10 min reach top enter templ singl stone nandi center templ view top beauti special rain one see greeneri around ancient shiva templ one visit it’ away hustl bustl crowd remot locat give differ vibe one best templ visit around pune ideal time visit monsoon surround area becom lush green seren car taken atop near templ carv black stone simpli marvel big nandi maharaj carv singl stone must watch one wall ganesha murti stree rupa(feminine) uniqu rare must visit place road condit upto templ absolut best uniqu presenc lord shiva place inde quit far citi reach person vehicl visit definit worth nice ancient spiritu place full natur peopl offer kind servic offer prasad visitor smile insist upon take realli hat nobl servic old templ best exampl cultur heritag top mountain road templ seren view connect road good templ top dome structur rebuilt seem similar mosqu due fact tri devast past muslim invad far look like mosqu templ intern structur tri broken one destroy heritag ancient templ incred architectur decent drive pune bhuleshwar templ great place visit weekend templ shiva deityther spectacular view vista outsid templey choos travel via solapur road saswad,"ancient, carvings, walls, 8th century, 13th century, pandavas, the hill, islamic, basalt, heritage site"
14,15,ChIJG7j5zyDCwjsR6bQbtxT6eA0,nice templ visit near tupe cornerpriv own templedurga pandal also therether lot visitersbik park avail recommend go bike car park problem availableshiv templ structur goodeven time good visit visit even mahashivratri nice design templ big premis wonder artifici carv cave templ well maintain clean calm place huge park area light effect even make beauti get posit vibe soon enter great ambianc small sweet templ nice place visit look peac spiritu uplift experi highli recommend visit shiva templ backsid amanora mall moment step insid transport world tranquil serenityth templ beauti design intric carv stun architectur sure leav awe atmospher insid incred peac temple' staff welcom friendlyoveral highli recommend visit shiva templ truli special place leav feel uplift inspir peac nice templ visit though privat own templ restrict place kept neat clean well design constructedther arrang common prayer everyday even it’ lord shiva’ templ arrang celebr maharshivratri one could find peac mind templ lord mahadev name rudreshwar design appear templ made special get feel templ locat mountain cave visit calm beauti place love go beauti craft templ feel live enter descent staircas lead main idol templ shape himalayan mountain actual feel like enter one well design cours shiv mandir sourc posit energi,"peaceful, lord shiva, parking, cave, mall, evening, light, shivling, feel, atmosphere"
15,16,ChIJ36EM-GbAwjsRHba_oTh07ys,must visit everi punekar get know cultur think hidden gem pune templ symbol intermix variou architectur style best part beauti intric carv templ treat histori buff well import religi centr crowd place even though heart citi like punebeauti sculpt small templ go n sit front bappa see special roop 3 trunk close eye total peac peac mind ! one go get rid stress modern life beauti old ganpati mandirpleas visit explor templ templ carv total black rock built 1754 variou carv bhaldar chopdar main gate silent place one medit whole day without disturb ganesha idol attract three trunk behind ganesha idol vishnu lakshmi sit sheshnaag must visit templ pune outsid templ small templ ganesha peopl worship ganpati festiv untouch clean peac peshva kalin templ punea true hidden gem stylepleas disturb peac placemani idol templ still intactbelow idol templ three trunk ganesha tomb founder templ mahant sri dattaguru goswami maharaj anoint idol pour water samadhi basement sinc templ belong tantramargiya girigosavi sect common devote visit although current main idol templ trishund gajanana origin idea build shiva templ must amaz 18th centuri templ right middl urban landscap mani uniqu characterist place like ganesh idol 3 trunk go pradakshina marg right behind ganpati idol outsid find shivl mayur mushak worth explor templ detail architectur carv piec art definit must visit pune known vibrant citi bhagwan ganesh festiv peshwa rule built beauti templ worshippinga 250-year-old trishund mayureshwar ganpati templ hidden gem pune locat citi somwar peth templ built bhimjigiri gosavi dhampur near indorewhi templ call trishund ganpati idol lord ganesha three tusk six hand seat peacock extrem uniqu depict lord ganesha found anywher els india architectur templ construct deccan templ construct deccan stone basalt idol made pure black basalt stone wall inner sanctum inscript devanagari sanskrit persian well vers bhagavad gita templ beauti exampl fascin heritag india,"architecture, carvings, ancient, idol, guru purnima, stone, peshwa, 1754, basement, trunks"
16,17,ChIJcyilYvDBwjsRFKpoh4-D1xQ,peac place pray worship medit surround lot happi har har mahadev!!!i know templ hadapsar gaon chowk later move beauti place worship unfortun surround beggar stand shoe sandal nice templ peac place har har mahadev templ nice built sooth place good mantra chant one best shiv templ proxim nearbi garden also good check garden time go close 12 noon 4 pm lovely_peac place #shivatempl locat along roadsid adjac garden lord shiva templ along lord kartikey templ garden around gener crowd mahashivratri tripurari pornima also diwali festiv celebr arrang everi year call diwali pahat,"peaceful, garden, feel, atmosphere, blessed, meditate, kids, worship, murugan, sacred"
17,18,ChIJq79xouO4wjsRiQONz7MBGKE,"posit peac feel mani peopl follow rule place clean clear har har mahadev!y feel calm medit placegood clean environ old famou shiva templ peac place situat rahatani area templ renov recent year along big sitout area celebr overal great place even aarti take place 6:30park road two wheeler prefer beauti templ lord shiva architect ancient give vibe stone architect locat near river well maintain surround lot greeneri big banayan tree separ park space vehicl park road side affect traffic shoe rack utilis peopl crowd monday even devote disciplin henc made queue everyon got darshan peac ambienc templ well maintain entranc water suppli wash hand leg enter templ sit chair peopl allow insid narrow passway linga touch worship linga next templ big hall peopl sit darshan chant liter want come back shrine claim effect one oldest templ bhagwan mahadev rahatani pimpri chinchwad situat pawana river old nice construct stonestempl neat clean insid feel posit blessedoutsid templ find lot shop flower coconut puja stuff templ gener crowd special even weekend mondayalso place keep shoe sandal free cost@ park 🅿️ - ampl free street side park avail two four wheeler secur guardoveral good experi worth visit popular mahadev templ rahatani area pcmcit frequent local well resid closebi area like pimpl gaurav pimpl saudagar other day festiv get crowd rememb wait queue 4 hr mahashivratri gram devi templ 2 min away walk templ want cover welli love vibe templ nearbi want visit shiva templ visit templ beauti ancient templ lord shiva situat near river surround lot greenri find banyan tree peepel mani insid templ small park area infront templ 2 wheelers️ & limit 4 wheeler hall sit medit insid ‍️‍️there shoe rack outsid main gate enter small tap clean hand insid nandi dev face toward shivl divin feel find small shop outsid buy follow coconut prasad etcon monday find rush compar day especi morn aarti ie 9 9:30 also serv tasti prasad monday monday got sabudana kheer (sweet) sabudana khichdi (namkeen) ladoo banana papayaetc-> actual one give rate templ howev mandatori want write review would like say respect sanatan dharma ️ want visit divin place one!har har mahadev ""वही शून्य है वही इकायजिसके भीतर बसा शिवाय l""om namah shivaya ️devo k dev mahadev alway feel posit calm cool place nice manag templ","peaceful, lord shiva, river, feel, environment, aarti, bank, divine, parking, blessed"
18,19,ChIJ2-aAAOW-wjsR1wSFRZyCES4,peac enough park space forntwo wheeler one wash feet enter templ got one left side entranc offic present outsid templ devote choos offer god specifi footwear stand also request use peopl leav footwear around peopl also quit insid templ unfortun found lodli speak around balaji templ seren spiritu sanctuari offer peac retreat daili life architectur stun intric detail beauti idol atmospher tranquil foster sens devot reflect well-maintain welcom must-visit spiritu enrich nice say hidden templey visit everi day nice peac templ liter feel templ peopl south im glad stay nearbi thank god om shanti god everywher balaji bhagwan present well clean neat peac place must visit anoth place find like tirupati templ poojari bit action feel came visit balaji speak bit rude best place balaji darshanpleas last aarati day around 9 pmyou definit feel bless stay close templ 8 year freuentli visit nice templ seren pooja vidhi realli place get peac mind,"feel, lord balaji, divine, narasimha, blessed, clean, lakshmi, darshan, photos, pujaris"
19,20,ChIJ97ysqhuVwjsRPdpLQKqyewY,good even trek littl riski simpl path also avail trek normal view best nearbi place sunset food water templ avail buy bring water snack shri khandoba prasanna good small trekkingstraight peakaft reach templ actual trek path start take water small snack ucarri stick alsomor rout trek nice short trek 3-4 hr time small trail take upto 20-40 min depend speed come k2 trek weather amazinginterest part one side feel citi view anoth side see green mountain that’ beauti templ fantast place within pune natur lover visit best monsoon treak easi moder beginn 23 park spot avail old templ khandoba top carri water light snack max 3 hour fro nice place weekend trek near citi steepest end stair grill construct support beauti view reach top take 2-25 hour entir fro trek pleasant monsoon season also connect trek 5 taaki top take addit 2 hour best place scenic beauti hardli 15 minut drive dhayari bu stopplac get renov creat new stepsbest time visit earli morningdon’t forget carri drink water bottlemani new plant plant around templesom peopl serv food tea free cost seva god realli nice place 20 min steep hike reach top road get pretti bad pleas go 2 wheeler sunris realli realli awesom construct step process step small stiff & avoid senior citizen old age otherwis place good visit morn time,"trekking, sinhagad, morning, mountain, hill, peaceful, sunset, season, weather, off-road"
